"text","year","month","day","hour","created","source","favoriteCount","retweetCount","picture","exclamation","hashtag"
"Congratulations to our new Attorney General, @SenatorSessions! https://t.co/e0buP1K83z",2017,2,8,20,2017-02-09 01:05:53,"iPhone",81919,17825,"Picture/link","Yes","No"
"'Trump administration seen as more truthful than news media'
https://t.co/6LmsR5JOSW",2017,2,8,17,2017-02-08 22:07:18,"iPhone",55817,11696,"Picture/link","No","No"
"'Majority in Leading EU Nations Support Trump-Style Travel Ban' 
Poll of more than 10,000 people in 10 countries...https://t.co/KWsIWhtC9o",2017,2,8,16,2017-02-08 21:46:14,"iPhone",51699,13953,"Picture/link","No","No"
"'Immigration Ban Is One Of Trump's Most Popular Orders So Far' https://t.co/wAelwuQ4BE",2017,2,8,14,2017-02-08 19:39:51,"iPhone",82429,20705,"Picture/link","No","No"
"Thank you Brian Krzanich, CEO of @Intel. A great investment ($7 BILLION) in American INNOVATION and JOBS!… https://t.co/oicfDsPKHQ",2017,2,8,14,2017-02-08 19:22:33,"iPhone",70357,16563,"Picture/link","Yes","No"
"Big increase in traffic into our country from certain areas, while our people are far more vulnerable, as we wait for what should be EASY D!",2017,2,8,12,2017-02-08 17:41:09,"Android",67233,14217,"No picture/link","Yes","No"
"'16 Fake News Stories Reporters Have Run Since Trump Won' https://t.co/0dHld5kiVc",2017,2,8,10,2017-02-08 15:54:01,"iPhone",49918,15607,"Picture/link","No","No"
"My daughter Ivanka has been treated so unfairly by @Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible!",2017,2,8,10,2017-02-08 15:51:01,"iPhone",112483,22374,"No picture/link","Yes","No"
"Thank you to our great Police Chiefs &amp; Sheriffs for your leadership &amp; service. You have a true friend in the… https://t.co/Lysnv8ZR1h",2017,2,8,10,2017-02-08 15:23:29,"iPhone",74040,13689,"Picture/link","No","No"
"I will be speaking at 9:00 A.M. today to Police Chiefs and Sheriffs and will be discussing the horrible, dangerous and wrong decision.......",2017,2,8,8,2017-02-08 13:04:47,"Android",64248,9952,"No picture/link","No","No"
"If the U.S. does not win this case as it so obviously should, we can never have the security and safety to which we are entitled. Politics!",2017,2,8,7,2017-02-08 12:03:18,"Android",1e+05,20167,"No picture/link","Yes","No"
"It is a disgrace that my full Cabinet is still not in place, the longest such delay in the history of our country. Obstruction by Democrats!",2017,2,7,20,2017-02-08 01:04:00,"Android",146828,34214,"No picture/link","Yes","No"
"An honor having the National Sheriffs' Assoc. join me at the @WhiteHouse. Incredible men &amp; women who protect &amp; serv… https://t.co/1LkhbCNh8L",2017,2,7,11,2017-02-07 16:25:13,"iPhone",100975,17460,"Picture/link","No","No"
"I don't know Putin, have no deals in Russia, and the haters are going crazy - yet Obama can make a deal with Iran, #1 in terror, no problem!",2017,2,7,7,2017-02-07 12:11:29,"iPhone",180664,49044,"No picture/link","Yes","Yes"
"The threat from radical Islamic terrorism is very real, just look at what is happening in Europe and the Middle-East. Courts must act fast!",2017,2,6,21,2017-02-07 02:49:28,"Android",140939,32018,"No picture/link","Yes","No"
"The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!",2017,2,6,21,2017-02-07 02:33:55,"Android",88637,16103,"No picture/link","Yes","No"
"An extended interview from the Super Bowl with @oreillyfactor airs tonight at 8:00 P.M. Enjoy! https://t.co/kZdHqaNTVR",2017,2,6,18,2017-02-06 23:33:52,"iPhone",50648,7814,"Picture/link","Yes","No"
"The failing @nytimes writes total fiction concerning me. They have gotten it wrong for two years, and now are making up stories &amp; sources!",2017,2,6,11,2017-02-06 16:32:24,"Android",94032,19099,"No picture/link","Yes","No"
"I call my own shots, largely based on an accumulation of data, and everyone knows it. Some FAKE NEWS media, in order to marginalize, lies!",2017,2,6,7,2017-02-06 12:07:55,"Android",123175,23876,"No picture/link","Yes","No"
"Any negative polls are fake news, just like the CNN, ABC, NBC polls in the election. Sorry, people want border security and extreme vetting.",2017,2,6,7,2017-02-06 12:01:53,"Android",158747,35674,"No picture/link","No","No"
"What an amazing comeback and win by the Patriots. Tom Brady, Bob Kraft and Coach B are total winners. Wow!",2017,2,5,22,2017-02-06 03:36:54,"Android",268502,74686,"No picture/link","Yes","No"
"Enjoy the #SuperBowl and then we continue: MAKE AMERICA GREAT AGAIN!",2017,2,5,17,2017-02-05 22:49:42,"Android",185642,37220,"No picture/link","Yes","Yes"
"I have instructed Homeland Security to check people coming into our country VERY CAREFULLY. The courts are making the job very difficult!",2017,2,5,15,2017-02-05 20:42:33,"Android",145364,28252,"No picture/link","Yes","No"
"Just cannot  believe a judge would put our country in such peril. If something happens blame him and court system. People pouring in. Bad!",2017,2,5,15,2017-02-05 20:39:05,"Android",136926,29154,"No picture/link","Yes","No"
"The judge opens up our country to potential terrorists and others that do not have our best interests at heart. Bad people are very happy!",2017,2,4,19,2017-02-05 00:48:12,"Android",129615,28371,"No picture/link","Yes","No"
"Interview with @oreillyfactor on Fox Network - 4:00 P.M. (prior to Super Bowl). Enjoy!",2017,2,4,19,2017-02-05 00:34:50,"Android",70579,11456,"No picture/link","Yes","No"
"Why aren't the lawyers looking at and using the Federal Court decision in Boston, which is at conflict with ridiculous lift ban decision?",2017,2,4,18,2017-02-04 23:37:59,"Android",97193,17993,"Picture/link","No","No"
"Because the ban was lifted by a judge, many very bad and dangerous people may be pouring into our country. A terrible decision",2017,2,4,16,2017-02-04 21:44:49,"Android",137116,29626,"No picture/link","No","No"
"What is our country coming to when a judge can halt a Homeland Security travel ban and anyone, even with bad intentions, can come into U.S.?",2017,2,4,15,2017-02-04 20:44:07,"Android",148355,32996,"No picture/link","No","No"
"MAKE AMERICA GREAT AGAIN!",2017,2,4,9,2017-02-04 14:26:10,"Android",255463,66243,"No picture/link","Yes","No"
"After being forced to apologize for its bad and inaccurate coverage of me after winning the election, the FAKE NEWS @nytimes is still lost!",2017,2,4,8,2017-02-04 13:39:27,"Android",103122,17619,"No picture/link","Yes","No"
